token	corpus size	all contexts size	frequency	co-frequency	specificity
temperature	52874	29555	7	5	0.65
momentum	52874	29555	7	5	0.65
composed	52874	29555	7	5	0.65
correct	52874	29555	7	5	0.65
create	52874	29555	7	5	0.65
illustration	52874	29555	7	5	0.65
screens	52874	29555	7	5	0.65
examples	52874	29555	7	5	0.65
cameras	52874	29555	7	5	0.65
metal	52874	29555	7	5	0.65
direct	52874	29555	7	5	0.65
surrounded	52874	29555	7	5	0.65
credit	52874	29555	7	5	0.65
kind	52874	29555	7	5	0.65
equation	52874	29555	7	5	0.65
public	52874	29555	7	5	0.65
building	52874	29555	7	5	0.65
six	52874	29555	7	5	0.65
art	52874	29555	7	5	0.65
affective	52874	29555	7	5	0.65
disorders	52874	29555	7	5	0.65
guide	52874	29555	7	5	0.65
North	52874	29555	7	5	0.65
output	52874	29555	7	5	0.65
lighted	52874	29555	7	5	0.65
due	52874	29555	12	7	0.65
Jupiter	52874	29555	12	7	0.65
until	52874	29555	12	7	0.65
means	52874	29555	12	7	0.65
Laser	52874	29555	12	7	0.65
half	52874	29555	12	7	0.65
once	52874	29555	11	6	0.63
term	52874	29555	11	6	0.63
properties	52874	29555	11	6	0.63
series	52874	29555	11	6	0.63
under	52874	29555	11	6	0.63
moon	52874	29555	11	6	0.63
Most	52874	29555	10	6	0.62
physicists	52874	29555	10	6	0.62
itself	52874	29555	10	6	0.62
flame	52874	29555	10	6	0.62
heat	52874	29555	10	6	0.62
reflection	52874	29555	10	6	0.62
Journal	52874	29555	10	6	0.62
pinhole	52874	29555	10	6	0.62
screen	52874	29555	10	6	0.62
relativity	52874	29555	10	6	0.62
available	52874	29555	9	5	0.58
detect	52874	29555	9	5	0.58
throughout	52874	29555	9	5	0.58
ground	52874	29555	9	5	0.58
concept	52874	29555	9	5	0.58
scale	52874	29555	9	5	0.58
