token	corpus size	all contexts size	frequency	co-frequency	specificity
awakened	120157	30086	2	2	1.20
incorporation	120157	30086	2	2	1.20
savings	120157	30086	2	2	1.20
Lifetime	120157	30086	2	2	1.20
straightforward	120157	30086	2	2	1.20
intricate	120157	30086	2	2	1.20
dance	120157	30086	2	2	1.20
fidelity	120157	30086	2	2	1.20
flashlights	120157	30086	2	2	1.20
spontaneously	120157	30086	2	2	1.20
candlelight	120157	30086	2	2	1.20
amplify	120157	30086	2	2	1.20
broader	120157	30086	2	2	1.20
robots	120157	30086	2	2	1.20
symbols	120157	30086	2	2	1.20
internationally	120157	30086	2	2	1.20
Potts	120157	30086	2	2	1.20
manually	120157	30086	2	2	1.20
beacons	120157	30086	2	2	1.20
obey	120157	30086	2	2	1.20
indications	120157	30086	2	2	1.20
Walk	120157	30086	2	2	1.20
Shibuya	120157	30086	2	2	1.20
Australian	120157	30086	2	2	1.20
Piyo	120157	30086	2	2	1.20
Liverpool	120157	30086	2	2	1.20
actuation	120157	30086	2	2	1.20
involving	120157	30086	2	2	1.20
Tehran	120157	30086	2	2	1.20
PAR	120157	30086	2	2	1.20
sealed	120157	30086	2	2	1.20
collimates	120157	30086	2	2	1.20
pedestal	120157	30086	2	2	1.20
Canberra	120157	30086	2	2	1.20
Mast	120157	30086	2	2	1.20
Ekiti	120157	30086	2	2	1.20
Nigeria	120157	30086	2	2	1.20
Horizontal	120157	30086	2	2	1.20
footbridge	120157	30086	2	2	1.20
Taipei	120157	30086	2	2	1.20
Taiwan	120157	30086	2	2	1.20
existing	120157	30086	2	2	1.20
erected	120157	30086	2	2	1.20
Thames	120157	30086	2	2	1.20
pdf	120157	30086	2	2	1.20
tal	120157	30086	2	2	1.20
Website	120157	30086	2	2	1.20
Edison	120157	30086	2	2	1.20
Torch	120157	30086	2	2	1.20
Klieg	120157	30086	2	2	1.20
Headlamp	120157	30086	2	2	1.20
Automotive	120157	30086	2	2	1.20
architect	120157	30086	2	2	1.20
toplighting	120157	30086	2	2	1.20
openings	120157	30086	2	2	1.20
minimalist	120157	30086	2	2	1.20
algorithms	120157	30086	2	2	1.20
darks	120157	30086	2	2	1.20
washed	120157	30086	2	2	1.20
facts	120157	30086	2	2	1.20
noteworthy	120157	30086	2	2	1.20
cigarette	120157	30086	2	2	1.20
airy	120157	30086	2	2	1.20
brighten	120157	30086	2	2	1.20
ignite	120157	30086	2	2	1.20
truck	120157	30086	2	2	1.20
disturbed	120157	30086	2	2	1.20
swiftly	120157	30086	2	2	1.20
nimbly	120157	30086	2	2	1.20
cheerful	120157	30086	2	2	1.20
chiefly	120157	30086	2	2	1.20
chips	120157	30086	2	2	1.20
lightly	120157	30086	2	2	1.20
baggage	120157	30086	2	2	1.20
exceptionally	120157	30086	2	2	1.20
kindling	120157	30086	2	2	1.20
feather	120157	30086	2	2	1.20
punishment	120157	30086	2	2	1.20
blend	120157	30086	2	2	1.20
Frisian	120157	30086	2	2	1.20
cht	120157	30086	2	2	1.20
liuha	120157	30086	2	2	1.20
derivative	120157	30086	2	2	1.20
llug	120157	30086	2	2	1.20
Hittite	120157	30086	2	2	1.20
dawns	120157	30086	2	2	1.20
leuhta	120157	30086	2	2	1.20
Elmo	120157	30086	2	2	1.20
silent	120157	30086	2	2	1.20
salad	120157	30086	2	2	1.20
dressing	120157	30086	2	2	1.20
earthen	120157	30086	2	2	1.20
dipavali	120157	30086	2	2	1.20
symbolizes	120157	30086	2	2	1.20
victory	120157	30086	2	2	1.20
Tirthankaras	120157	30086	2	2	1.20
samsara	120157	30086	2	2	1.20
holy	120157	30086	2	2	1.20
tradition	120157	30086	2	2	1.20
Hindus	120157	30086	2	2	1.20
earthenware	120157	30086	2	2	1.20
Famous	120157	30086	2	2	1.20
Hercules	120157	30086	2	2	1.20
antiquity	120157	30086	2	2	1.20
Alexandria	120157	30086	2	2	1.20
Ostia	120157	30086	2	2	1.20
dissipate	120157	30086	2	2	1.20
Mitchell	120157	30086	2	2	1.20
piles	120157	30086	2	2	1.20
Souter	120157	30086	2	2	1.20
luminosity	120157	30086	2	2	1.20
paragraph	120157	30086	2	2	1.20
obsolete	120157	30086	2	2	1.20
staffed	120157	30086	2	2	1.20
Machias	120157	30086	2	2	1.20
sovereignty	120157	30086	2	2	1.20
batteries	120157	30086	2	2	1.20
radioisotope	120157	30086	2	2	1.20
thermoelectric	120157	30086	2	2	1.20
omnidirectional	120157	30086	2	2	1.20
concentrating	120157	30086	2	2	1.20
enclosure	120157	30086	2	2	1.20
pronounced	120157	30086	2	2	1.20
masonry	120157	30086	2	2	1.20
Loma	120157	30086	2	2	1.20
Screw	120157	30086	2	2	1.20
caisson	120157	30086	2	2	1.20
Skeletal	120157	30086	2	2	1.20
lightship	120157	30086	2	2	1.20
Margaree	120157	30086	2	2	1.20
Offshore	120157	30086	2	2	1.20
disputed	120157	30086	2	2	1.20
surviving	120157	30086	2	2	1.20
Guard	120157	30086	2	2	1.20
Foghorn	120157	30086	2	2	1.20
lightvessels	120157	30086	2	2	1.20
quotations	120157	30086	2	2	1.20
details	120157	30086	2	2	1.20
completion	120157	30086	2	2	1.20
tongue	120157	30086	2	2	1.20
veil	120157	30086	2	2	1.20
believing	120157	30086	2	2	1.20
etymology	120157	30086	2	2	1.20
HAR	120157	30086	2	2	1.20
duhd	120157	30086	2	2	1.20
haired	120157	30086	2	2	1.20
handedness	120157	30086	2	2	1.20
harvesting	120157	30086	2	2	1.20
lighthead	120157	30086	2	2	1.20
lightheadedness	120157	30086	2	2	1.20
heartedly	120157	30086	2	2	1.20
adv	120157	30086	2	2	1.20
heartedness	120157	30086	2	2	1.20
heeled	120157	30086	2	2	1.20
heels	120157	30086	2	2	1.20
hitting	120157	30086	2	2	1.20
horse	120157	30086	2	2	1.20
horseman	120157	30086	2	2	1.20
seriousness	120157	30086	2	2	1.20
based	120157	30086	31	11	1.19
stop	120157	30086	50	16	1.19
world	120157	30086	54	17	1.18
usually	120157	30086	35	12	1.17
colors	120157	30086	35	12	1.17
show	120157	30086	24	9	1.17
unit	120157	30086	17	7	1.17
until	120157	30086	17	7	1.17
effects	120157	30086	17	7	1.17
feel	120157	30086	17	7	1.17
arrows	120157	30086	17	7	1.17
century	120157	30086	47	15	1.15
beams	120157	30086	28	10	1.15
really	120157	30086	28	10	1.15
cycle	120157	30086	28	10	1.15
we	120157	30086	161	41	1.15
even	120157	30086	55	17	1.15
