token	corpus size	all contexts size	frequency	co-frequency	specificity
hours	120157	30086	16	9	2.23
increased	120157	30086	16	9	2.23
how	120157	30086	99	35	2.21
When	120157	30086	72	27	2.20
replaced	120157	30086	11	7	2.19
therapy	120157	30086	11	7	2.19
water	120157	30086	46	19	2.19
known	120157	30086	96	34	2.18
medium	120157	30086	40	17	2.15
upon	120157	30086	22	11	2.14
objects	120157	30086	34	15	2.13
still	120157	30086	28	13	2.12
often	120157	30086	70	26	2.10
many	120157	30086	70	26	2.10
Lighthouse	120157	30086	70	26	2.10
constant	120157	30086	14	8	2.08
be	120157	30086	434	125	2.06
other	120157	30086	180	57	2.06
studied	120157	30086	9	6	2.06
explain	120157	30086	9	6	2.06
feet	120157	30086	9	6	2.06
operation	120157	30086	9	6	2.06
Meaning	120157	30086	9	6	2.06
steady	120157	30086	9	6	2.06
constructed	120157	30086	9	6	2.06
illuminates	120157	30086	9	6	2.06
A	120157	30086	291	87	2.06
times	120157	30086	41	17	2.05
px	120157	30086	81	29	2.04
time	120157	30086	141	46	2.03
produces	120157	30086	17	9	2.03
easily	120157	30086	17	9	2.03
colours	120157	30086	17	9	2.03
using	120157	30086	61	23	2.01
sun	120157	30086	32	14	2.00
impact	120157	30086	20	10	2.00
while	120157	30086	48	19	1.99
down	120157	30086	58	22	1.99
sometimes	120157	30086	23	11	1.99
wavelengths	120157	30086	45	18	1.97
lenses	120157	30086	65	24	1.97
some	120157	30086	107	36	1.95
signals	120157	30086	125	41	1.94
trillion	120157	30086	12	7	1.94
astronomers	120157	30086	12	7	1.94
Albert	120157	30086	12	7	1.94
evidence	120157	30086	12	7	1.94
levels	120157	30086	12	7	1.94
SAD	120157	30086	12	7	1.94
Ole	120157	30086	7	5	1.94
situation	120157	30086	7	5	1.94
concentrated	120157	30086	7	5	1.94
output	120157	30086	7	5	1.94
lighted	120157	30086	7	5	1.94
entries	120157	30086	7	5	1.94
optics	120157	30086	52	20	1.93
particle	120157	30086	33	14	1.88
South	120157	30086	15	8	1.88
verb	120157	30086	15	8	1.88
place	120157	30086	27	12	1.85
color	120157	30086	53	20	1.85
don	120157	30086	18	9	1.85
Traffic	120157	30086	109	36	1.85
became	120157	30086	24	11	1.85
fire	120157	30086	21	10	1.84
Five	120157	30086	5	4	1.83
Further	120157	30086	5	4	1.83
Morley	120157	30086	5	4	1.83
Latin	120157	30086	5	4	1.83
universal	120157	30086	5	4	1.83
anywhere	120157	30086	5	4	1.83
stands	120157	30086	5	4	1.83
calorie	120157	30086	5	4	1.83
rendering	120157	30086	5	4	1.83
codes	120157	30086	5	4	1.83
bad	120157	30086	5	4	1.83
tree	120157	30086	5	4	1.83
Countdown	120157	30086	5	4	1.83
Standard	120157	30086	5	4	1.83
Etymology	120157	30086	5	4	1.83
whence	120157	30086	5	4	1.83
diyas	120157	30086	5	4	1.83
Stevenson	120157	30086	5	4	1.83
Dal	120157	30086	5	4	1.83
lighthearted	120157	30086	5	4	1.83
embed	120157	30086	3	3	1.80
demonstrate	120157	30086	3	3	1.80
Cygni	120157	30086	3	3	1.80
radiating	120157	30086	3	3	1.80
tunnel	120157	30086	3	3	1.80
chronological	120157	30086	3	3	1.80
Different	120157	30086	3	3	1.80
substances	120157	30086	3	3	1.80
absorbing	120157	30086	3	3	1.80
photometry	120157	30086	3	3	1.80
attributed	120157	30086	3	3	1.80
interpretation	120157	30086	3	3	1.80
behaved	120157	30086	3	3	1.80
asserts	120157	30086	3	3	1.80
transmitting	120157	30086	3	3	1.80
presented	120157	30086	3	3	1.80
Luminescence	120157	30086	3	3	1.80
Wiktionary	120157	30086	3	3	1.80
bends	120157	30086	3	3	1.80
pinholes	120157	30086	3	3	1.80
instant	120157	30086	3	3	1.80
groove	120157	30086	3	3	1.80
diffusing	120157	30086	3	3	1.80
exploring	120157	30086	3	3	1.80
immutable	120157	30086	3	3	1.80
spooky	120157	30086	3	3	1.80
reaching	120157	30086	3	3	1.80
Advancing	120157	30086	3	3	1.80
brightening	120157	30086	3	3	1.80
aware	120157	30086	3	3	1.80
neighbor	120157	30086	3	3	1.80
organ	120157	30086	3	3	1.80
Choosing	120157	30086	3	3	1.80
lbs	120157	30086	3	3	1.80
melatonin	120157	30086	3	3	1.80
dilemma	120157	30086	3	3	1.80
Stoplight	120157	30086	3	3	1.80
watt	120157	30086	3	3	1.80
towers	120157	30086	3	3	1.80
Supreme	120157	30086	3	3	1.80
Queensland	120157	30086	3	3	1.80
rail	120157	30086	3	3	1.80
strobe	120157	30086	3	3	1.80
settle	120157	30086	3	3	1.80
dummy	120157	30086	3	3	1.80
Neon	120157	30086	3	3	1.80
obstruction	120157	30086	3	3	1.80
furniture	120157	30086	3	3	1.80
abundant	120157	30086	3	3	1.80
Souza	120157	30086	3	3	1.80
skylights	120157	30086	3	3	1.80
screwed	120157	30086	3	3	1.80
pale	120157	30086	3	3	1.80
sleeper	120157	30086	3	3	1.80
breeze	120157	30086	3	3	1.80
ingredient	120157	30086	3	3	1.80
sandy	120157	30086	3	3	1.80
alight	120157	30086	3	3	1.80
Anglian	120157	30086	3	3	1.80
licht	120157	30086	3	3	1.80
Sanskrit	120157	30086	3	3	1.80
heavyweight	120157	30086	3	3	1.80
lite	120157	30086	3	3	1.80
guiding	120157	30086	3	3	1.80
era	120157	30086	3	3	1.80
Winstanley	120157	30086	3	3	1.80
automated	120157	30086	3	3	1.80
Alan	120157	30086	3	3	1.80
harbor	120157	30086	3	3	1.80
Pharology	120157	30086	3	3	1.80
regime	120157	30086	3	3	1.80
paris	120157	30086	3	3	1.80
efficace	120157	30086	3	3	1.80
vast	120157	30086	10	6	1.79
travelled	120157	30086	10	6	1.79
described	120157	30086	10	6	1.79
stimulated	120157	30086	10	6	1.79
led	120157	30086	10	6	1.79
installations	120157	30086	10	6	1.79
Kingdom	120157	30086	10	6	1.79
Verb	120157	30086	10	6	1.79
get	120157	30086	54	20	1.78
he	120157	30086	82	28	1.77
needed	120157	30086	31	13	1.76
possible	120157	30086	31	13	1.76
before	120157	30086	51	19	1.75
c	120157	30086	41	16	1.74
lines	120157	30086	28	12	1.74
subsection	120157	30086	13	7	1.73
intended	120157	30086	13	7	1.73
care	120157	30086	13	7	1.73
related	120157	30086	25	11	1.72
l	120157	30086	83	28	1.71
large	120157	30086	38	15	1.71
special	120157	30086	22	10	1.71
specific	120157	30086	16	8	1.70
saw	120157	30086	16	8	1.70
larger	120157	30086	16	8	1.70
usual	120157	30086	16	8	1.70
Although	120157	30086	16	8	1.70
candle	120157	30086	16	8	1.70
drivers	120157	30086	16	8	1.70
countdown	120157	30086	16	8	1.70
were	120157	30086	127	40	1.70
forms	120157	30086	19	9	1.70
But	120157	30086	45	17	1.69
air	120157	30086	35	14	1.68
along	120157	30086	32	13	1.66
all	120157	30086	162	49	1.65
same	120157	30086	49	18	1.64
photons	120157	30086	63	22	1.64
consists	120157	30086	8	5	1.63
simultaneously	120157	30086	8	5	1.63
surrounded	120157	30086	8	5	1.63
healthy	120157	30086	8	5	1.63
producing	120157	30086	8	5	1.63
chlorophyll	120157	30086	8	5	1.63
locations	120157	30086	8	5	1.63
knowledge	120157	30086	8	5	1.63
electricity	120157	30086	8	5	1.63
turns	120157	30086	8	5	1.63
Synonyms	120157	30086	8	5	1.63
word	120157	30086	29	12	1.63
an	120157	30086	385	106	1.61
longer	120157	30086	26	11	1.60
too	120157	30086	26	11	1.60
illumination	120157	30086	26	11	1.60
their	120157	30086	141	43	1.60
universe	120157	30086	36	14	1.59
have	120157	30086	214	62	1.59
they	120157	30086	172	51	1.59
Toggle	120157	30086	23	10	1.58
uses	120157	30086	23	10	1.58
area	120157	30086	23	10	1.58
away	120157	30086	50	18	1.57
work	120157	30086	50	18	1.57
coming	120157	30086	11	6	1.57
needs	120157	30086	11	6	1.57
Where	120157	30086	11	6	1.57
mer	120157	30086	20	9	1.56
gas	120157	30086	20	9	1.56
shows	120157	30086	20	9	1.56
depending	120157	30086	17	8	1.55
type	120157	30086	30	12	1.53
The	120157	30086	833	213	1.53
for	120157	30086	780	200	1.52
with	120157	30086	652	169	1.51
at	120157	30086	492	130	1.50
radiation	120157	30086	84	27	1.50
rays	120157	30086	62	21	1.50
its	120157	30086	122	37	1.48
me	120157	30086	55	19	1.48
nothing	120157	30086	6	4	1.48
minute	120157	30086	6	4	1.48
nearest	120157	30086	6	4	1.48
finite	120157	30086	6	4	1.48
Vocabulary	120157	30086	6	4	1.48
phenomena	120157	30086	6	4	1.48
Mount	120157	30086	6	4	1.48
spontaneous	120157	30086	6	4	1.48
existence	120157	30086	6	4	1.48
centuries	120157	30086	6	4	1.48
mechanical	120157	30086	6	4	1.48
assuming	120157	30086	6	4	1.48
sensation	120157	30086	6	4	1.48
shine	120157	30086	6	4	1.48
remote	120157	30086	6	4	1.48
principles	120157	30086	6	4	1.48
filters	120157	30086	6	4	1.48
exposed	120157	30086	6	4	1.48
tends	120157	30086	6	4	1.48
proportion	120157	30086	6	4	1.48
colorful	120157	30086	6	4	1.48
winter	120157	30086	6	4	1.48
skin	120157	30086	6	4	1.48
Canadian	120157	30086	6	4	1.48
walking	120157	30086	6	4	1.48
illuminate	120157	30086	6	4	1.48
beeping	120157	30086	6	4	1.48
Soviet	120157	30086	6	4	1.48
shadow	120157	30086	6	4	1.48
adverb	120157	30086	6	4	1.48
meals	120157	30086	6	4	1.48
Allah	120157	30086	34	13	1.48
As	120157	30086	48	17	1.48
powerful	120157	30086	24	10	1.47
up	120157	30086	165	48	1.47
three	120157	30086	52	18	1.45
reach	120157	30086	21	9	1.45
mirrors	120157	30086	21	9	1.45
called	120157	30086	89	28	1.45
Some	120157	30086	31	12	1.45
effect	120157	30086	31	12	1.45
change	120157	30086	45	16	1.44
moving	120157	30086	38	14	1.44
example	120157	30086	56	19	1.43
Modern	120157	30086	18	8	1.42
located	120157	30086	18	8	1.42
range	120157	30086	28	11	1.41
common	120157	30086	28	11	1.41
scattering	120157	30086	9	5	1.41
effectively	120157	30086	9	5	1.41
composed	120157	30086	9	5	1.41
direct	120157	30086	9	5	1.41
towards	120157	30086	9	5	1.41
increasing	120157	30086	9	5	1.41
trap	120157	30086	9	5	1.41
running	120157	30086	9	5	1.41
preemption	120157	30086	9	5	1.41
reflector	120157	30086	9	5	1.41
Eddystone	120157	30086	9	5	1.41
Argand	120157	30086	9	5	1.41
directly	120157	30086	15	7	1.40
diffraction	120157	30086	15	7	1.40
